job_id,job_title,job_category,years_of_experience,education_required,annual_salary_usd,city,country,company_size,industry,ai_salary_premium_pct,salary level,salary_tier,,,,,
AIJOB0025,Nlp Engineer,Ai Engineering,8,bachelor's,145000,SYDNEY,AUSTRALIA,sme(6-500),Manufacturing,6,mid,$100-150k,,,,,
AIJOB0026,Robotics Engineer (Ai,Robotics,10,master's,125000,BEIJING,CHINA,sme(1-500),Energy,17,mid,$100-150k,,,,,
AIJOB0027,Senior Data Scientist,Data Science,8,phd,157000,ZURICH,SWITZERLAND,sme(3-500),Technology,3,upper-mid,$150-200k,,,,,
AIJOB0028,Ml Engineer,Ai Engineering,6,bachelor's,224000,SAN FRANCISCO,USA,sme(1-500),Energy,16,senior,$200-300k,,,,,
AIJOB0029,Ai Business Analyst,Business,3,bootcamp/self-taught,216000,SAN FRANCISCO,USA,mid-size(1-5000),Manufacturing,15,senior,$200-300k,,,,,
AIJOB0030,Ai Ethics Officer,Governance,10,bootcamp/self-taught,208000,BOSTON,USA,enterprise(1-5000),Research,11,senior,$200-300k,,,,,
AIJOB0031,Nlp Engineer,Ai Engineering,8,phd,348000,ZURICH,SWITZERLAND,big tech(1),Media,10,elite,$300k,,,,,
AIJOB0032,Ai Infrastructure Eng,Infrastructure,4,bachelor's,285000,REMOTE,GLOBAL,enterprise(1-5000),Research,12,senior,$200-300k,,,,,
AIJOB0033,Deep Learning Engineer,Ai Engineering,10,master's,141000,TORONTO,CANADA,startup(8-50),Healthcare,8,mid,$100-150k,,,,,
AIJOB0034,Ai Infrastructure Eng,Infrastructure,6,bachelor's,160000,AUSTIN,USA,enterprise(1-5000),Government,14,upper-mid,$150-200k,,,,,
AIJOB0035,Senior Ml Engineer,Ai Engineering,8,associate's,223000,LONDON,UK,startup(1-50),Automotive,11,senior,$200-300k,,,,,
AIJOB0036,Ai Engineer,Ai Engineering,4,phd,221000,AMSTERDAM,NETHERLANDS,enterprise(1-5000),Finance,15,senior,$200-300k,,,,,
AIJOB0037,Mlops Engineer,Ml Operations,8,bootcamp/self-taught,130000,BEIJING,CHINA,big tech(1),Technology,15,mid,$100-150k,,,,,
AIJOB0038,Ai Business Analyst,Business,8,associate's,95000,BANGALORE,INDIA,startup(1-50),Government,13,entry,$100k,,,,,
AIJOB0039,Data Scientist,Data Science,5,bootcamp/self-taught,198000,CHICAGO,USA,mid-size(9-5000),Government,9,upper-mid,$150-200k,,,,,
AIJOB0040,Deep Learning Engineer,Ai Engineering,6,bootcamp/self-taught,238000,DUBAI,UAE,mid-size(5-5000),Consulting,5,senior,$200-300k,,,,,
AIJOB0041,Nlp Engineer,Ai Engineering,7,master's,192000,BOSTON,USA,enterprise(9-5000),Energy,9,upper-mid,$150-200k,,,,,
AIJOB0042,Ai Product Manager,Product,10,phd,149000,DUBAI,UAE,mid-size(1-5000),Media,17,mid,$100-150k,,,,,
AIJOB0043,Nlp Engineer,Ai Engineering,9,bootcamp/self-taught,164000,AMSTERDAM,NETHERLANDS,startup(6-50),Finance,6,upper-mid,$150-200k,,,,,
AIJOB0044,Senior Ml Engineer,Ai Engineering,6,associate's,272000,REMOTE,GLOBAL,mid-size(1-5000),Consulting,11,senior,$200-300k,,,,,
AIJOB0045,Ai Infrastructure Eng,Infrastructure,3,phd,275000,BOSTON,USA,enterprise(1-5000),Media,15,senior,$200-300k,,,,,
AIJOB0046,Rag Engineer,Ai Engineering,4,master's,189000,LONDON,UK,enterprise(8-5000),Consulting,8,upper-mid,$150-200k,,,,,
AIJOB0047,Data Scientist,Data Science,7,associate's,146000,LONDON,UK,enterprise(5-5000),Energy,5,mid,$100-150k,,,,,
AIJOB0048,Multimodal Ai Engineer,Ai Engineering,3,phd,180000,AUSTIN,USA,startup(1-50),Healthcare,17,upper-mid,$150-200k,,,,,
AIJOB0049,Computer Vision Engineer,Ai Engineering,4,bachelor's,234000,REMOTE,GLOBAL,mid-size(6-5000),Media,6,senior,$200-300k,,,,,
AIJOB0050,Data Engineer (Ai,Data Engineering,6,bachelor's,240000,BOSTON,USA,sme(8-500),Healthcare,8,senior,$200-300k,,,,,
AIJOB0051,Senior Data Scientist,Data Science,7,associate's,169000,SYDNEY,AUSTRALIA,enterprise(1-5000),Automotive,10,upper-mid,$150-200k,,,,,
AIJOB0052,Ai Agent Developer,Ai Engineering,2,phd,257000,SINGAPORE,SINGAPORE,startup(1-50),Automotive,16,senior,$200-300k,,,,,
AIJOB0053,Ai Compliance Manager,Governance,5,phd,188000,AUSTIN,USA,big tech(1),Healthcare,16,upper-mid,$150-200k,,,,,
AIJOB0054,Senior Data Scientist,Data Science,10,bachelor's,157000,AMSTERDAM,NETHERLANDS,big tech(3),Education,3,upper-mid,$150-200k,,,,,
AIJOB0055,Ai Ethics Officer,Governance,5,phd,110000,ZURICH,SWITZERLAND,startup(9-50),Media,9,mid,$100-150k,,,,,
AIJOB0056,Generative Ai Engineer,Ai Engineering,8,master's,354000,LOS ANGELES,USA,enterprise(9-5000),Consulting,9,elite,$300k,,,,,
AIJOB0057,Data Engineer (Ai,Data Engineering,6,associate's,160000,AUSTIN,USA,big tech(9),Energy,9,upper-mid,$150-200k,,,,,
AIJOB0058,Data Engineer (Ai,Data Engineering,8,phd,130000,TOKYO,JAPAN,mid-size(1-5000),Retail,11,mid,$100-150k,,,,,
AIJOB0059,Multimodal Ai Engineer,Ai Engineering,7,bachelor's,160000,SYDNEY,AUSTRALIA,startup(1-50),Retail,16,upper-mid,$150-200k,,,,,
AIJOB0060,Ai Compliance Manager,Governance,9,phd,100000,BEIJING,CHINA,startup(9-50),Finance,9,entry,$100k,,,,,
AIJOB0061,Ml Engineer,Ai Engineering,6,bachelor's,120000,LONDON,UK,enterprise(9-5000),Research,9,mid,$100-150k,,,,,
AIJOB0062,Data Engineer (Ai,Data Engineering,2,bootcamp/self-taught,130000,SEATTLE,USA,enterprise(1-5000),Government,11,mid,$100-150k,,,,,
AIJOB0063,Senior Ml Engineer,Ai Engineering,6,bootcamp/self-taught,180000,AMSTERDAM,NETHERLANDS,startup(1-50),Manufacturing,18,upper-mid,$150-200k,,,,,
AIJOB0064,Deep Learning Engineer,Ai Engineering,10,bachelor's,222000,CHICAGO,USA,big tech(7),Finance,7,senior,$200-300k,,,,,
AIJOB0065,Mlops Engineer,Ml Operations,5,bachelor's,131000,ZURICH,SWITZERLAND,enterprise(1-5000),Energy,16,mid,$100-150k,,,,,
AIJOB0066,Deep Learning Engineer,Ai Engineering,3,associate's,247000,TORONTO,CANADA,big tech(7),Education,7,senior,$200-300k,,,,,
AIJOB0067,Multimodal Ai Engineer,Ai Engineering,7,bachelor's,160000,BEIJING,CHINA,startup(1-50),Consulting,12,upper-mid,$150-200k,,,,,
AIJOB0068,Ai Infrastructure Eng,Infrastructure,8,phd,324000,SEATTLE,USA,mid-size(1-5000),Retail,10,elite,$300k,,,,,
AIJOB0069,Senior Data Scientist,Data Science,5,associate's,157000,SEATTLE,USA,mid-size(3-5000),Healthcare,3,upper-mid,$150-200k,,,,,
AIJOB0070,Mlops Engineer,Ml Operations,9,phd,191000,ZURICH,SWITZERLAND,sme(1-500),Government,16,upper-mid,$150-200k,,,,,
AIJOB0071,Ai Ethics Officer,Governance,8,associate's,126000,SINGAPORE,SINGAPORE,big tech(1),Automotive,17,mid,$100-150k,,,,,
AIJOB0072,Nlp Engineer,Ai Engineering,4,master's,167000,SYDNEY,AUSTRALIA,startup(4-50),Energy,4,upper-mid,$150-200k,,,,,
AIJOB0073,Rag Engineer,Ai Engineering,2,phd,157000,DUBAI,UAE,enterprise(3-5000),Education,3,upper-mid,$150-200k,,,,,
AIJOB0074,Ai Engineer,Ai Engineering,7,associate's,100000,BEIJING,CHINA,mid-size(8-5000),Manufacturing,8,entry,$100k,,,,,
AIJOB0075,Data Scientist,Data Science,4,bachelor's,138000,BANGALORE,INDIA,mid-size(1-5000),Finance,10,mid,$100-150k,,,,,
AIJOB0076,Ai Product Manager,Product,4,associate's,258000,PARIS,FRANCE,big tech(1),Government,15,senior,$200-300k,,,,,
AIJOB0077,Ai Infrastructure Eng,Infrastructure,3,bachelor's,248000,REMOTE,GLOBAL,mid-size(1-5000),Education,12,senior,$200-300k,,,,,
AIJOB0078,Rag Engineer,Ai Engineering,5,bachelor's,145000,AMSTERDAM,NETHERLANDS,mid-size(8-5000),Finance,8,mid,$100-150k,,,,,
AIJOB0079,Multimodal Ai Engineer,Ai Engineering,7,bootcamp/self-taught,244000,ZURICH,SWITZERLAND,mid-size(1-5000),Finance,10,senior,$200-300k,,,,,
AIJOB0080,Ai Infrastructure Eng,Infrastructure,4,bootcamp/self-taught,167000,ZURICH,SWITZERLAND,sme(9-500),Consulting,9,upper-mid,$150-200k,,,,,
AIJOB0081,Ai Infrastructure Eng,Infrastructure,9,bachelor's,196000,CHICAGO,USA,mid-size(1-5000),Media,17,upper-mid,$150-200k,,,,,
AIJOB0082,Ai Security Engineer,Security,4,master's,146000,AMSTERDAM,NETHERLANDS,enterprise(9-5000),Media,9,mid,$100-150k,,,,,
AIJOB0083,Ai Infrastructure Eng,Infrastructure,8,bachelor's,179000,LONDON,UK,mid-size(1-5000),Consulting,17,upper-mid,$150-200k,,,,,
AIJOB0084,Senior Ml Engineer,Ai Engineering,11,master's,374400,NEW YORK,USA,big tech(1),Consulting,13,elite,$300k,,,,,
AIJOB0085,Deep Learning Engineer,Ai Engineering,8,phd,253000,TORONTO,CANADA,big tech(5),Finance,5,senior,$200-300k,,,,,
AIJOB0086,Prompt Engineer,Ai Engineering,2,associate's,121000,LONDON,UK,sme(7-500),Finance,7,mid,$100-150k,,,,,
AIJOB0087,Mlops Engineer,Ml Operations,9,phd,312000,REMOTE,GLOBAL,big tech(1),Technology,14,elite,$300k,,,,,
AIJOB0088,Ai Solutions Architect,Architecture,12,master's,180000,TOKYO,JAPAN,mid-size(1-5000),Technology,15,upper-mid,$150-200k,,,,,
AIJOB0089,Senior Data Scientist,Data Science,9,master's,244000,TORONTO,CANADA,big tech(1),Manufacturing,10,senior,$200-300k,,,,,
AIJOB0090,Ai Agent Developer,Ai Engineering,6,phd,348000,SAN FRANCISCO,USA,big tech(1),Consulting,14,elite,$300k,,,,,
AIJOB0091,Senior Data Scientist,Data Science,12,associate's,183000,AMSTERDAM,NETHERLANDS,sme(6-500),Manufacturing,6,upper-mid,$150-200k,,,,,
AIJOB0092,Multimodal Ai Engineer,Ai Engineering,5,master's,360000,BERLIN,GERMANY,big tech(1),Manufacturing,17,elite,$300k,,,,,
AIJOB0093,Llm Engineer,Ai Engineering,7,phd,181000,SYDNEY,AUSTRALIA,mid-size(7-5000),Media,7,upper-mid,$150-200k,,,,,
AIJOB0094,Nlp Engineer,Ai Engineering,9,master's,295000,NEW YORK,USA,big tech(1),Healthcare,10,senior,$200-300k,,,,,
AIJOB0095,Ai Product Manager,Product,9,associate's,140000,PARIS,FRANCE,startup(1-50),Research,17,mid,$100-150k,,,,,
AIJOB0096,Ai Product Manager,Product,7,master's,281000,PARIS,FRANCE,enterprise(1-5000),Technology,16,senior,$200-300k,,,,,
AIJOB0097,Llm Engineer,Ai Engineering,2,bachelor's,283000,AMSTERDAM,NETHERLANDS,big tech(8),Government,8,senior,$200-300k,,,,,
AIJOB0098,Computer Vision Engineer,Ai Engineering,5,bachelor's,145000,SINGAPORE,SINGAPORE,sme(6-500),Automotive,6,mid,$100-150k,,,,,
AIJOB0099,Robotics Engineer (Ai,Robotics,4,master's,252000,REMOTE,GLOBAL,big tech(1),Healthcare,13,senior,$200-300k,,,,,
AIJOB0100,Ai Security Engineer,Security,10,master's,233000,ZURICH,SWITZERLAND,startup(9-50),Research,9,senior,$200-300k,,,,,
AIJOB0101,Senior Ml Engineer,Ai Engineering,7,bootcamp/self-taught,214000,REMOTE,GLOBAL,startup(1-50),Finance,13,senior,$200-300k,,,,,
AIJOB0102,Ai Compliance Manager,Governance,9,associate's,240000,SAN FRANCISCO,USA,mid-size(1-5000),Automotive,15,senior,$200-300k,,,,,
AIJOB0103,Nlp Engineer,Ai Engineering,3,associate's,145000,LOS ANGELES,USA,startup(8-50),Automotive,8,mid,$100-150k,,,,,
AIJOB0104,Ai Business Analyst,Business,3,master's,177000,TORONTO,CANADA,big tech(1),Energy,17,upper-mid,$150-200k,,,,,
AIJOB0105,Ai Agent Developer,Ai Engineering,4,bootcamp/self-taught,261000,SYDNEY,AUSTRALIA,big tech(1),Media,12,senior,$200-300k,,,,,
AIJOB0106,Ai Agent Developer,Ai Engineering,3,bachelor's,323000,SEATTLE,USA,enterprise(1-5000),Energy,14,elite,$300k,,,,,
AIJOB0107,Deep Learning Engineer,Ai Engineering,6,master's,298000,LOS ANGELES,USA,startup(7-50),Manufacturing,7,senior,$200-300k,,,,,
AIJOB0108,Deep Learning Engineer,Ai Engineering,6,bachelor's,253000,SINGAPORE,SINGAPORE,mid-size(7-5000),Manufacturing,7,senior,$200-300k,,,,,
AIJOB0109,Computer Vision Engineer,Ai Engineering,8,master's,336000,REMOTE,GLOBAL,enterprise(8-5000),Finance,8,elite,$300k,,,,,
AIJOB0110,Senior Ml Engineer,Ai Engineering,5,associate's,180000,AUSTIN,USA,startup(1-50),Research,18,upper-mid,$150-200k,,,,,
AIJOB0111,Data Scientist,Data Science,6,master's,217000,BOSTON,USA,big tech(8),Research,8,senior,$200-300k,,,,,
AIJOB0112,Senior Ml Engineer,Ai Engineering,5,associate's,281000,SYDNEY,AUSTRALIA,enterprise(1-5000),Media,10,senior,$200-300k,,,,,
AIJOB0113,Ml Engineer,Ai Engineering,8,master's,187000,SEATTLE,USA,mid-size(1-5000),Healthcare,14,upper-mid,$150-200k,,,,,
AIJOB0114,Ai Compliance Manager,Governance,6,bachelor's,137000,AUSTIN,USA,startup(1-50),Education,12,mid,$100-150k,,,,,
AIJOB0115,Llm Engineer,Ai Engineering,2,master's,360000,SEATTLE,USA,big tech(5),Finance,5,elite,$300k,,,,,
AIJOB0116,Prompt Engineer,Ai Engineering,3,bachelor's,231000,ZURICH,SWITZERLAND,big tech(4),Government,4,senior,$200-300k,,,,,
AIJOB0117,Ai Security Engineer,Security,7,master's,192000,CHICAGO,USA,enterprise(1-5000),Education,12,upper-mid,$150-200k,,,,,
AIJOB0118,Deep Learning Engineer,Ai Engineering,9,phd,150000,ZURICH,SWITZERLAND,startup(1-50),Retail,10,mid,$100-150k,,,,,
AIJOB0119,Mlops Engineer,Ml Operations,9,phd,270000,REMOTE,GLOBAL,big tech(1),Research,16,senior,$200-300k,,,,,
AIJOB0120,Multimodal Ai Engineer,Ai Engineering,4,master's,257000,REMOTE,GLOBAL,sme(1-500),Media,18,senior,$200-300k,,,,,
AIJOB0121,Data Scientist,Data Science,7,associate's,138000,LONDON,UK,mid-size(7-5000),Research,7,mid,$100-150k,,,,,
AIJOB0122,Ai Business Analyst,Business,4,bachelor's,125000,DUBAI,UAE,sme(1-500),Education,13,mid,$100-150k,,,,,
AIJOB0123,Ai Product Manager,Product,6,bachelor's,140000,SEATTLE,USA,mid-size(1-5000),Education,12,mid,$100-150k,,,,,
AIJOB0124,Generative Ai Engineer,Ai Engineering,2,associate's,150000,BEIJING,CHINA,sme(1-500),Healthcare,10,mid,$100-150k,,,,,
AIJOB0125,Ai Product Manager,Product,6,associate's,140000,BEIJING,CHINA,enterprise(1-5000),Manufacturing,11,mid,$100-150k,,,,,
AIJOB0126,Rag Engineer,Ai Engineering,7,bootcamp/self-taught,336000,AUSTIN,USA,big tech(7),Manufacturing,7,elite,$300k,,,,,
AIJOB0127,Llm Engineer,Ai Engineering,5,bootcamp/self-taught,327000,TOKYO,JAPAN,big tech(4),Automotive,4,elite,$300k,,,,,
AIJOB0128,Ai Security Engineer,Security,8,phd,248000,BOSTON,USA,big tech(8),Retail,8,senior,$200-300k,,,,,
AIJOB0129,Ai Compliance Manager,Governance,5,associate's,121000,LONDON,UK,sme(1-500),Manufacturing,11,mid,$100-150k,,,,,
AIJOB0130,Data Scientist,Data Science,3,phd,168000,AUSTIN,USA,enterprise(7-5000),Energy,7,upper-mid,$150-200k,,,,,
AIJOB0131,Llm Engineer,Ai Engineering,4,bootcamp/self-taught,232000,DUBAI,UAE,mid-size(9-5000),Automotive,9,senior,$200-300k,,,,,
AIJOB0132,Ai Business Analyst,Business,8,phd,216000,AUSTIN,USA,big tech(8),Healthcare,8,senior,$200-300k,,,,,
AIJOB0133,Ai Agent Developer,Ai Engineering,4,bachelor's,193000,PARIS,FRANCE,sme(1-500),Government,15,upper-mid,$150-200k,,,,,
AIJOB0134,Ai Security Engineer,Security,9,phd,140000,ZURICH,SWITZERLAND,startup(1-50),Finance,17,mid,$100-150k,,,,,
AIJOB0135,Ai Agent Developer,Ai Engineering,5,associate's,155000,AUSTIN,USA,startup(9-50),Finance,9,upper-mid,$150-200k,,,,,
AIJOB0136,Nlp Engineer,Ai Engineering,7,associate's,145000,BERLIN,GERMANY,startup(8-50),Research,8,mid,$100-150k,,,,,
AIJOB0137,Data Scientist,Data Science,2,associate's,138000,LONDON,UK,enterprise(8-5000),Education,8,mid,$100-150k,,,,,
AIJOB0138,Ml Engineer,Ai Engineering,9,associate's,241000,SYDNEY,AUSTRALIA,big tech(1),Automotive,10,senior,$200-300k,,,,,
AIJOB0139,Multimodal Ai Engineer,Ai Engineering,3,master's,354000,SEATTLE,USA,mid-size(1-5000),Technology,15,elite,$300k,,,,,
AIJOB0140,Computer Vision Engineer,Ai Engineering,4,phd,219000,CHICAGO,USA,mid-size(6-5000),Education,6,senior,$200-300k,,,,,
AIJOB0141,Ai Compliance Manager,Governance,3,master's,176000,BOSTON,USA,big tech(1),Healthcare,18,upper-mid,$150-200k,,,,,
AIJOB0142,Prompt Engineer,Ai Engineering,3,bootcamp/self-taught,112000,LONDON,UK,mid-size(1-5000),Media,10,mid,$100-150k,,,,,
AIJOB0143,Ai Product Manager,Product,6,bachelor's,312000,SEATTLE,USA,big tech(1),Automotive,17,elite,$300k,,,,,
AIJOB0144,Ai Engineer,Ai Engineering,6,phd,172000,TORONTO,CANADA,startup(1-50),Finance,10,upper-mid,$150-200k,,,,,
AIJOB0145,Generative Ai Engineer,Ai Engineering,8,associate's,190000,SEATTLE,USA,big tech(1),Government,15,upper-mid,$150-200k,,,,,
AIJOB0146,Senior Data Scientist,Data Science,12,bachelor's,157000,BANGALORE,INDIA,startup(9-50),Finance,9,upper-mid,$150-200k,,,,,
AIJOB0147,Ai Product Manager,Product,4,phd,180000,AUSTIN,USA,startup(9-50),Automotive,9,upper-mid,$150-200k,,,,,
AIJOB0148,Senior Data Scientist,Data Science,9,bachelor's,261600,LOS ANGELES,USA,enterprise(1-5000),Manufacturing,10,senior,$200-300k,,,,,
AIJOB0149,Llm Engineer,Ai Engineering,3,bootcamp/self-taught,238000,REMOTE,GLOBAL,startup(8-50),Energy,8,senior,$200-300k,,,,,
AIJOB0150,Computer Vision Engineer,Ai Engineering,6,master's,238000,SYDNEY,AUSTRALIA,sme(3-500),Government,3,senior,$200-300k,,,,,
AIJOB0151,Ml Engineer,Ai Engineering,5,associate's,313000,REMOTE,GLOBAL,big tech(1),Manufacturing,18,elite,$300k,,,,,
AIJOB0152,Ai Infrastructure Eng,Infrastructure,7,phd,217000,SINGAPORE,SINGAPORE,big tech(1),Technology,10,senior,$200-300k,,,,,
AIJOB0153,Deep Learning Engineer,Ai Engineering,5,phd,197000,AUSTIN,USA,mid-size(4-5000),Manufacturing,4,upper-mid,$150-200k,,,,,
AIJOB0154,Ai Agent Developer,Ai Engineering,3,master's,214000,TORONTO,CANADA,sme(1-500),Energy,14,senior,$200-300k,,,,,
AIJOB0155,Data Engineer (Ai,Data Engineering,4,phd,130000,TORONTO,CANADA,sme(1-500),Technology,15,mid,$100-150k,,,,,
AIJOB0156,Data Engineer (Ai,Data Engineering,6,bootcamp/self-taught,130000,TOKYO,JAPAN,enterprise(9-5000),Retail,9,mid,$100-150k,,,,,
AIJOB0157,Senior Ml Engineer,Ai Engineering,7,bachelor's,373000,TORONTO,CANADA,big tech(1),Retail,11,elite,$300k,,,,,
AIJOB0158,Senior Data Scientist,Data Science,12,bootcamp/self-taught,157000,NEW YORK,USA,mid-size(6-5000),Finance,6,upper-mid,$150-200k,,,,,
AIJOB0159,Llm Engineer,Ai Engineering,2,phd,344000,CHICAGO,USA,mid-size(9-5000),Finance,9,elite,$300k,,,,,
AIJOB0160,Llm Engineer,Ai Engineering,5,associate's,293000,DUBAI,UAE,enterprise(4-5000),Healthcare,4,senior,$200-300k,,,,,
AIJOB0161,Multimodal Ai Engineer,Ai Engineering,8,associate's,160000,AMSTERDAM,NETHERLANDS,sme(1-500),Retail,17,upper-mid,$150-200k,,,,,
AIJOB0162,Data Scientist,Data Science,8,associate's,138000,AMSTERDAM,NETHERLANDS,sme(8-500),Government,8,mid,$100-150k,,,,,
AIJOB0163,Senior Data Scientist,Data Science,10,bachelor's,157000,BEIJING,CHINA,big tech(9),Retail,9,upper-mid,$150-200k,,,,,
AIJOB0164,Senior Data Scientist,Data Science,6,phd,229000,PARIS,FRANCE,enterprise(4-5000),Technology,4,senior,$200-300k,,,,,
AIJOB0165,Ai Business Analyst,Business,3,master's,176000,SAN FRANCISCO,USA,sme(1-500),Education,14,upper-mid,$150-200k,,,,,
AIJOB0166,Ai Solutions Architect,Architecture,10,phd,336000,CHICAGO,USA,enterprise(1-5000),Energy,10,elite,$300k,,,,,
AIJOB0167,Prompt Engineer,Ai Engineering,2,bootcamp/self-taught,90000,DUBAI,UAE,startup(5-50),Manufacturing,5,entry,$100k,,,,,
AIJOB0168,Data Scientist,Data Science,6,associate's,234000,SAN FRANCISCO,USA,big tech(1),Retail,10,senior,$200-300k,,,,,
AIJOB0169,Ml Engineer,Ai Engineering,10,master's,120000,BEIJING,CHINA,enterprise(1-5000),Research,15,mid,$100-150k,,,,,
AIJOB0170,Ai Security Engineer,Security,5,phd,140000,PARIS,FRANCE,sme(1-500),Automotive,11,mid,$100-150k,,,,,
AIJOB0171,Ai Solutions Architect,Architecture,15,associate's,186000,BOSTON,USA,enterprise(1-5000),Government,17,upper-mid,$150-200k,,,,,
AIJOB0172,Ai Solutions Architect,Architecture,8,bachelor's,231000,AUSTIN,USA,mid-size(1-5000),Energy,13,senior,$200-300k,,,,,
AIJOB0173,Prompt Engineer,Ai Engineering,5,bootcamp/self-taught,154000,SYDNEY,AUSTRALIA,enterprise(5-5000),Consulting,5,upper-mid,$150-200k,,,,,
AIJOB0174,Ai Business Analyst,Business,4,bachelor's,95000,PARIS,FRANCE,sme(1-500),Automotive,17,entry,$100k,,,,,
AIJOB0175,Deep Learning Engineer,Ai Engineering,3,bachelor's,314000,SAN FRANCISCO,USA,big tech(4),Government,4,elite,$300k,,,,,
AIJOB0176,Ai Agent Developer,Ai Engineering,4,bachelor's,348000,SAN FRANCISCO,USA,mid-size(1-5000),Education,10,elite,$300k,,,,,
AIJOB0177,Prompt Engineer,Ai Engineering,2,associate's,90000,PARIS,FRANCE,sme(8-500),Media,8,entry,$100k,,,,,
AIJOB0178,Computer Vision Engineer,Ai Engineering,7,master's,145000,ZURICH,SWITZERLAND,startup(8-50),Technology,8,mid,$100-150k,,,,,
AIJOB0179,Computer Vision Engineer,Ai Engineering,9,master's,253000,SEATTLE,USA,mid-size(9-5000),Healthcare,9,senior,$200-300k,,,,,
AIJOB0180,Llm Engineer,Ai Engineering,5,master's,206000,SINGAPORE,SINGAPORE,big tech(8),Consulting,8,senior,$200-300k,,,,,
AIJOB0181,Nlp Engineer,Ai Engineering,6,bootcamp/self-taught,156000,TORONTO,CANADA,big tech(4),Education,4,upper-mid,$150-200k,,,,,
AIJOB0182,Ai Security Engineer,Security,4,bootcamp/self-taught,302000,LONDON,UK,big tech(8),Education,8,elite,$300k,,,,,
AIJOB0183,Rag Engineer,Ai Engineering,4,bootcamp/self-taught,145000,BEIJING,CHINA,mid-size(4-5000),Research,4,mid,$100-150k,,,,,
